trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20240103,4270,386,410
20240103,4271,653,691
20240103,4272,2142,1826
20240103,4290,2283,2113
20240103,4300,1630,1697
20240103,4310,2167,2274
20240103,4320,1324,1444
20240103,4330,2138,2154
20240103,4340,8859,9003
20240103,4350,766,734
20240103,4360,830,855
20240103,4370,1483,1491
20240103,4380,421,484
20240103,4390,694,720
20240103,4400,11095,11154
20240103,4410,882,892
20240103,4420,1722,1547
20240103,4430,1396,1292
20240103,4440,4815,4661
20240103,4450,654,664
20240103,4460,1114,1112
20240103,4470,165,175
20240103,5000,8390,8621
20240103,5010,241,236
20240103,5020,183,175
20240103,5030,858,778
20240103,5040,251,247
20240103,5050,3347,3284
20240103,5060,230,194
20240103,5070,514,527
20240103,5080,36,29
20240103,5090,476,442
20240103,5100,153,162
20240103,5110,67,146
20240103,5120,802,836
20240103,5130,76,0
20240103,5160,1,1
20240103,5190,203,183
20240103,5200,16,24
20240103,5210,755,751
20240103,5220,111,95
20240103,5230,609,582
20240103,5240,17,5
20240103,6000,3289,3249
20240103,6010,4,5
20240103,6020,149,143
20240103,6030,49,56
20240103,6040,10,6
20240103,6050,506,439
20240103,6060,6,7
20240103,6070,449,380
20240103,6080,128,121
20240103,6090,7,7
20240103,6100,12,11
20240103,6110,1204,1013
20240103,6120,9,8
20240103,6130,506,466
20240103,6140,32,45
20240103,6150,6,5
20240103,6160,358,332
20240103,6170,55,42
20240103,6180,326,281
20240103,6190,20,17
20240103,6200,44,29
20240103,6210,51,43
20240103,6220,288,305
20240103,6230,4,6
20240103,6240,261,281
20240103,6250,492,491
20240103,7000,7787,7492
20240103,7010,158,177
20240103,7020,14,10
20240103,7030,643,621
20240103,7040,26,23
20240103,7050,53,49
20240103,7060,868,867
20240103,7070,14,14
20240103,7080,14,15
20240103,7090,797,765
20240103,7100,205,201
20240103,7110,13,12
20240103,7120,438,508
20240103,7130,628,692
20240103,7150,551,560
20240103,7160,4115,3825
20240103,7170,43,43
20240103,7180,130,142
20240103,7190,3554,3424
20240103,7200,156,146
20240103,7210,1671,1719
20240103,7220,100,108
20240103,7230,1003,1052
20240103,7240,40,47
20240103,7250,89,76
20240103,7260,207,151
20240103,7270,61,52
20240103,7280,18,12
20240103,7290,454,457
20240103,7300,161,130
20240103,7310,615,610
20240103,7320,159,294
20240103,7330,103,35
20240103,7331,9,7
20240103,7332,970,959
20240103,7333,8,7
20240103,7334,9,9
20240103,7335,80,76
20240103,7336,139,98
20240103,7350,525,486
20240103,7360,4445,4642
20240103,7361,24,15
20240103,7362,67,121
20240103,7380,801,755
20240103,7390,582,559
20240104,900,8744,8227
20240104,910,1532,1554
20240104,920,2693,2361
20240104,930,6738,6746
20240104,940,2894,2946
20240104,950,2728,2181
20240104,960,11492,12335
